จังหวัด,พื้นที่สีเขียวสาธารณะ,พื้นที่สีเขียวส่วนบุคคล,พื้นที่สีเขียวสถาบัน,พื้นที่สีเขียวสาธารณูปการ,พื้นที่สีเขียวริ้วยาวตามแนวสาธารณูปการ,พื้นที่สีเขียวเพื่อเศรษฐกิจของชุมชน,พื้นที่สีเขียวธรรมชาติ,พื้นที่สีเขียวยังไม่มีการใช้ประโยชน์,พื้นที่สีเขียวรวม,จำนวนประชากร(คน),สัดส่วนพื้นที่สีเขียวเพื่อบริการสาธารณะต่อจำนวนประชากร(ตร.ม./คน)
กระบี่,164189.25,119328.76,499462.85,73074.42,0,15909557.14,4077848.24,2341149.43,23184610.24,133515,1.23
กาญจนบุรี,2207637,1630837.49,3067510.38,5542.48,274788.65,108264131.54,70001322.93,7843729.25,193295500.74,338367,6.52
กาฬสินธุ์,438402.91,493.08,94233.7,0,450.34,4984878.14,2128074.55,1924250.91,9570783.57,573193,0.76
กำแพงเพชร,518890.27,0,208317.88,0,0,199660877.23,66468524.91,3576527.84,270433138.13,226302,2.29
ขอนแก่น,3949089.4,1221529.34,3328771.4,1415507.49,425857.13,87203840.24,10478786.05,12749002.8,120772383.95,867631,4.55
จันทบุรี,978359.35,20168.41,423855,230175.7,14519.79,25810233.29,7733035.66,6367583,41577930.33,335938,2.91
ฉะเชิงเทรา,923044.11,4107715.14,2859706.2,528609.68,606204.41,372504684.54,24506729.83,21443005.76,427479699.67,214695,4.3
ชลบุรี,6007616.49,38718345.93,9889425.74,275463.91,414275.57,400219732.63,165038552.24,83836663.97,704417361.48,1052016,5.71
ชัยนาท,448265.64,0,45067.74,0,0,332110.42,1610650.71,112279.18,2548373.7,226270,1.98
ชัยภูมิ,561665.59,0,116358.58,0,0,12000220.62,906446.08,1505985.6,15090676.48,304669,1.84
ชุมพร,93087.09,652983.02,1223240.48,6178.85,961661.14,34985329.67,17558420.5,9990715.52,65471616.39,181260,0.51
เชียงราย,1104019.1,11755284.71,3199644.75,211376.43,39645.06,147657922.67,46593879.05,5019346.38,215581118.26,671758,1.64
เชียงใหม่,1535426.98,1591213.58,3016203.19,2420477.32,383389.21,78617588.73,390624311.9,17818208.91,496006819.75,1116704,1.37
ตรัง,600663.95,0,55464.83,0,0,1447777.98,1775914.7,1774368.42,5654189.95,182353,3.29
ตราด,64667.74,0,25668.61,0,0,0,70557.96,442469.6,603363.89,74942,0.86
ตาก,169088.68,172767.56,755603.66,660399.88,564832.58,4721811.25,8839420.22,1999701.48,17883625.3,209843,0.81
นครนายก,69208.54,140343.3,118571.16,15001.59,43293.93,4499631.79,1021068.36,7049458.27,12956576.87,32114,2.16
นครปฐม,125798.96,1117256.49,5915721.87,332145.43,237052.21,49247558.82,12522725.42,31211689.08,101159706.73,346862,0.36
นครพนม,254580.16,0,175374.57,0,0,1936992.68,6890136.47,1341630.02,10598713.95,178118,1.43
นครราชสีมา,1145004.02,491310.44,1118885.92,0,155150.28,22142571.24,9838190.14,9583919.91,44475032.07,854728,1.34
นครศรีธรรมราช,12522417.41,54525082.85,464060.04,2345324.91,155450.94,188826312.91,60472385.3,49556202.42,368867236.76,512240,24.45
นครสวรรค์,927689.64,28383.08,256304.88,0,1549.33,5318449.17,6123402.62,732611.26,13388389.98,215192,4.31
นนทบุรี,716023.86,4975645.73,2332881.47,20091.98,155474.41,15063653.47,8037085.85,11055576.59,42493011.39,1015498,0.71
นราธิวาส,759926.57,424.51,168313.56,0,0,8602333.35,710707.69,3780542.81,14022248.53,207066,3.67
น่าน,94454.96,0,99814.25,496147.82,170.39,0,198484.1,0,889071.5,119490,0.79
บึงกาฬ,37216.28,0,2267.11,0,0,3272644.61,6658735.45,1767970.89,11738834.34,149328,0.25
บุรีรัมย์,452552.22,0,738771.73,0,0,28427663.45,14835397.71,1208591.89,45662976.98,553675,0.82
ปทุมธานี,276475.09,9027936.82,659440.19,0,20745.69,42051111.57,10962675.33,42085997.32,105084382.18,786383,0.35
ประจวบคีรีขันธ์,272014.1,2161682.1,1628526.26,0,41105.8,10308295.97,24633010.34,18284475.59,57329110.2,186738,1.46
ปราจีนบุรี,52112.85,57404.51,82666.76,0,753.8,50385747.23,4789137.52,7924191.24,63292013.81,88914,0.59
ปัตตานี,12897.71,1186539.23,933114.14,0,16086.67,7651012.23,7523179.52,2356875.24,19679704.86,176774,0.07
พระนครศรีอยุธยา,184109.51,9927467.73,1506907.05,0,472789.17,104843015.86,23564993.67,9392073.03,149891356.11,331611,0.56
พะเยา,183903.95,3218311.7,3169394.99,265018.66,95579.03,52197625.06,7594963.65,4712201.59,71436998.7,260070,0.71
พังงา,479464.43,953378.11,1878277.51,0,24601.54,6945431.82,2522278.39,901020.51,13704452.42,75925,6.31
พัทลุง,81232.77,13933.22,284592.82,7866.72,42976.85,7599835.11,4849696.9,2560331.95,15440466.51,319462,0.25
พิจิตร,571187.02,0,149423.26,0,0,1170916.99,1500574.77,669488.74,4061590.84,152822,3.74
พิษณุโลก,724782.26,0.2,1547289.36,5862731.29,30684.53,33736.1,1859634.72,1154407.28,11213265.97,274989,2.64
เพชรบุรี,1450913.18,187203.02,345067,19282.46,20768.38,57237451.84,20324678.31,32928138.31,112513502.74,185341,7.83
เพชรบูรณ์,220371.47,2868.72,478771.45,0,17695.31,8845222.65,795457.07,263239.54,10623626.2,192871,1.14
แพร่,67545.92,5456025.59,638342.36,0,0,67773486.97,25169990.8,3179349,102284740.83,168299,0.4
ภูเก็ต,562846.96,16991389.69,236421.88,38651.87,80973.01,13078190.11,65613486.37,14074037.78,110714785.64,344775,1.63
มหาสารคาม,62549.8,0,101563.8,0,0,1058963.37,983411.39,781339.13,2987827.49,168663,0.37
มุกดาหาร,77490.29,0,58930.21,110797.51,2576.69,7615216.41,4352870.39,5271297.44,17489178.99,187871,0.41
แม่ฮ่องสอน,68535.59,0,15253.95,0,385.94,208271.73,505016.29,12354.76,809818.27,38191,1.79
ยโสธร,255761.93,0,60015.73,0,0,1449335.77,685866.49,282400.7,2733380.62,182841,1.4
ยะลา,420280.01,2875753.85,984646.59,0,72658.2,86007659.69,55549178.3,6385557.37,152295734,193506,2.17
ร้อยเอ็ด,45718.4,0,51027.21,0,0,285733.05,338166.6,137852.86,858498.15,519099,0.09
ระนอง,288794.67,425034.45,2163265.28,113075.7,206248,15322199.07,57257981.2,3030697.16,78807295.49,100241,2.88
ระยอง,6346418.51,2045096.75,946744.46,0,236826.8,84237456.6,20563715.72,23559142.99,139078303.72,429381,14.78
ราชบุรี,241370.89,317400.49,435248.03,201879.1,38280.7,45528097.48,6101594.29,19364201.49,72242071.4,348174,0.69
ลพบุรี,218908.21,0,612688.78,0,1367.97,3360638,5689135.22,492097.36,10374835.52,239328,0.91
ลำปาง,803336.32,3460222.89,893111.81,577737.6,192673.47,93739805.12,301867461.08,13375901.5,414910249.93,396845,2.02
ลำพูน,468150.59,906817.69,247216.08,820487.37,147274.34,2249156.33,31578928.7,547569.98,36965601.05,286041,1.64
เลย,195547.14,50827.57,91379.38,0,10707.33,1728351.93,738819.47,1455761.2,4271393.96,223414,0.88
ศรีสะเกษ,1591180.16,0,169325.66,0,4903,10044970.15,1196595.02,2996674.5,16003648.48,282376,5.63
สกลนคร,325519.5,481643.86,179653.4,0,7551.51,6903955.15,26211709.42,3750022.12,37860054.91,575208,0.57
สงขลา,2797760.18,2646275.39,2099839.31,365110.61,135835.86,188997292.46,78192208.54,25971874.78,301279682.8,851898,3.28
สตูล,24421.42,0,12845.14,0,0,331827.3,915272.67,670192.8,1954559.35,63892,0.38
สมุทรปราการ,515865.11,4354222.19,319326.14,38745.21,15535.01,7587879.07,22621729.86,19125066.48,55262852.71,836677,0.62
สมุทรสงคราม,55203.12,0,41630.19,0,0,1583238.63,1056429.86,150113.49,2886615.31,52337,1.05
สมุทรสาคร,70506.5,262198.57,124262.04,9921.6,12648.33,2902130.08,7580728.32,9002277.44,19964672.89,331617,0.21
สระแก้ว,739368.9,116304.73,486887.27,0,46288.33,65490984.98,7218352.5,3835403,78033274.9,148330,4.98
สระบุรี,679340.55,1552468.85,3373799.35,36803.04,834707.06,76775106.61,56722301.17,29618193.79,169592720.52,280717,2.42
สิงห์บุรี,38184.65,0,155462.4,0,17297.59,8431213.47,2656840.16,502298.52,11801296.76,59626,0.64
สุโขทัย,715415.89,172251.28,4111522.39,0,1098739.69,66029941.37,68467629.2,6838467.2,147437985.76,172904,4.14
สุพรรณบุรี,425522.09,3699542.74,2462847.31,3833308.26,910832.47,226668024.26,25122716.15,12507290.18,275630084.82,299221,1.42
สุราษฎร์ธานี,1623287.44,1322497.32,1710448.99,1333640.29,1093917.73,102331510.54,109708491.34,38840665.2,257964458.39,502802,3.23
สุรินทร์,417460.64,0,137894.26,216197.84,280.86,1435503.66,589964.56,497199.36,3294501.21,212859,1.96
หนองคาย,314344.7,0,341293.62,0,0,9388682.63,3947456.04,2345696.19,16337473.25,179535,1.75
หนองบัวลำภู,207555.46,0,79625.53,0,18831.7,3475950.32,2209327.63,2893619.01,8884909.63,206574,1
อ่างทอง,152119.36,2238.4,28549.29,0,4284.23,0,1312604.35,18885.47,1518681.09,120302,1.26
อำนาจเจริญ,217415.71,3201.72,331530.48,0,0,1243775.42,759885.75,393763.35,2949572.44,144551,1.5
อุดรธานี,1178922.21,148588.59,764602.82,3079710.45,40120.8,12411650.09,9930426.5,4052908.55,31606929.99,718765,1.64
อุตรดิตถ์,267462.54,194244.26,1178085.46,8937.6,119511.69,31657857.39,8302807.96,466698.29,42195605.44,174480,1.53
อุทัยธานี,301895.89,0,39923.14,0,0,282715.41,2608407.97,422143.6,3655085.98,67321,4.48
อุบลราชธานี,572036.54,54717.31,875887.16,509677.97,0,12174352.34,15038984.47,2226266.69,31455955.65,595692,0.96
