"p-small","p-small 2","p-small 3","p-small 4","p-small 5","p-small 6","p-small 7","p-small 8","p-small 9","p-small 10","p-small 11","p-small 12","p-small 13","p-small 14","p-small 15","p-small 16","p-small 17","p-small 18","p-small 19","p-small 20","p-small 21","p-small 22","p-small 23"
"","","","","","","","","","","","","","","","","","","","","","",""
"01","01","Helsinki","Finland","38.9%","13.1%","25","30","79.4","6.3%","1,190","96","85.3","94.1","90.1","84.3","100","97.3","90.9","90.6","97.7","99","100"
"02","03","Oslo","Norway","41.7%","10.6%","25","25","87.2","8.9%","707","96.6","100","100","88.4","74.1","92.4","90.7","100","89.9","83.2","98.9","98.6"
"03","07","Zurich","Switzerland","44.9%","13.0%","20","25","88.3","7.7%","98","85.1","93.4","95.4","84.2","50","94.3","88.7","89.9","86.6","93.4","93.9","91.5"
"04","05","Stockholm","Sweden","44.2%","12.5%","25","25","75.2","8.6%","490","91.7","94.2","93.5","98.3","82.2","90.5","87.8","92.1","80.1","91.5","92.1","91.4"
"05","-","Copenhagen","Denmark","41.4%","10.3%","25","28","81.4","7.3%","364","100","84.8","96.6","93.9","77.9","94","93.4","60.2","81.3","89.1","95.3","90.4"
"06","11","Ottawa","Canada","38.2%","15.1%","10","15","80.9","5.6%","364","94","97","94.9","89.3","85.9","88.1","76.7","99.6","100","90.3","91.2","89.1"
"07","02","Munich","Germany","36.7%","11.7%","20","30","95.3","5.3%","467","88.3","88.5","98.1","95.5","83","86.9","84.6","79","85.5","72.8","88.4","89.1"
"08","10","Vancouver","Canada","38.2%","14.8%","10","15","78.6","6.7%","364","94","97.1","94.9","90.1","83.9","87.6","81.8","85","97","86.2","91.5","87.8"
"09","-","Amsterdam","Netherlands","41.5%","8.3%","20","24","91.9","8.2%","115","83.5","93.9","96","94.2","81.2","92.1","84.3","60.8","79.5","91.1","87.3","87.6"
"10","15","Sydney","Australia","37.9%","13.9%","20","14","80.5","6.4%","140","81.1","96.5","95.9","91.3","75.3","87.3","78.4","94.4","96.7","84.5","95.9","86.8"
"11","04","Hamburg","Germany","36.7%","11.4%","20","30","83.5","5.3%","467","88.3","87.9","98.1","96.3","86.6","84.4","75.2","82.4","85.5","77","89","85.7"
"12","-","Vienna","Austria","36.7%","13.0%","25","25","72.5","4.3%","481","91.6","83.6","93.6","95.8","88.5","83","85.6","81.8","82","89.4","87.9","85.6"
"13","-","Calgary","Canada","38.2%","15.5%","10","15","65.6","6.2%","364","94","97.2","94.9","90.1","85.3","87.3","76.5","73.6","100","89.7","92.2","85.2"
"14","13","Toronto","Canada","38.2%","15.1%","10","15","65.3","5.6%","364","94","97.1","94.9","90.3","84","92.5","80.8","87.5","92.3","85.9","90.9","84.9"
"15","18","Melbourne","Australia","37.9%","13.9%","20","14","78.2","6.4%","140","81.1","95.9","96","91.3","80.2","96.7","74.6","90.4","92.9","85.1","95.5","84.9"
"16","-","Auckland","New Zealand","35.5%","14.9%","20","15","86.4","7.3%","126","86.7","90.1","94","93.5","80.6","87.3","81","76.4","93.2","72.6","98.7","84.4"
"17","06","Berlin","Germany","36.7%","11.7%","20","30","77.9","5.3%","467","88.3","86.8","98.1","100","88.2","91.1","75.3","82.7","82.2","75.3","88.3","84"
"18","32","Singapore","Singapore","51.3%","25.1%","7","14","94.2","2.7%","119","94","92.8","94.6","65.7","79.4","75.1","100","93.3","71.8","79.6","95.3","83.8"
"19","-","Dublin","Ireland","38.7%","13.6%","20","21","81.4","2.7%","182","76.7","76.1","94.5","91.7","81.2","89.3","82.7","62.3","91.5","88.5","95.2","83.4"
"20","12","London","UK","43.5%","15.4%","28","25","81.3","3.5%","287","73.6","92.6","97.7","98.7","77.8","86","73.2","71.1","84.9","78.4","76.3","81.4"
"21","-","Brussels","Belgium","42.3%","7.0%","20","24","74.1","3.8%","361","94.2","89.5","92","91.1","86.5","76.2","75.9","71.5","78.9","81.4","79.8","80.6"
"22","-","Madrid","Spain","31.7%","13.2%","22","30","53.5","2.3%","127","66.6","91.8","93.2","98.2","90.6","78.5","79","74.6","82.6","90.2","83.2","80.1"
"23","39","Tokyo","Japan","35.6%","18.3%","10","10","95.3","3.6%","770","79.3","95","88.9","61.3","82.9","68.2","86.4","65.5","77.8","80","100","79.3"
"24","-","Salt Lake City","USA","43.3%","14.2%","10","9.9","95","6.5%","0","66.6","83.9","80.6","86.8","87","84.2","76","79.3","99.7","84.7","96","79.2"
"25","08","Barcelona","Spain","31.7%","13.0%","22","30","53.6","2.3%","127","66.6","91.5","93.2","98","90.8","75.2","75.9","75.7","82.2","87.7","82.6","78.7"
"26","19","Portland","USA","38.5%","13.7%","10","10.1","82.9","5.4%","0","75.6","84.8","86.2","90.9","84","84.6","76.1","94.9","98.8","71.7","94.9","77.2"
"27","09","Paris","France","37.7%","14.7%","25","30","73.4","5.3%","490","89.5","84.5","96","89.5","80.7","81.8","69","67.6","72.9","87.2","80.7","77"
"28","25","Denver","USA","42.6%","12.3%","10","10.2","79.7","5.6%","0","74.1","83.9","84.1","90.3","83.9","84.5","75.5","76.4","96.2","76.6","92.7","75.3"
"29","23","Seattle","USA","42.3%","13.6%","10","10.4","82.1","5.4%","0","75.2","85","87.6","89.6","75.2","85.6","66","93.3","96.5","73.1","94.6","74.6"
"30","-","Seoul","South Korea","37.5%","19.5%","15","14","88.2","1.7%","93","72","93.2","86.2","65.5","86.2","61.3","84.5","80.1","50.8","79.8","96","72.9"
"31","22","Boston","USA","44.4%","12.7%","10","10.7","79.7","5.5%","0","68.6","85.4","93.6","89.8","77.3","86.9","70.7","97.1","93.4","66","83.8","72.7"
"32","14","Budapest","Hungary","30.9%","13.7%","20","24.1","94.1","1.4%","1,127","71.1","57.6","72.1","65.7","97.4","56","79.3","77.5","77.5","74.2","76.8","72.1"
"33","-","Washington","USA","49.8%","13.6%","10","9.4","80.9","5.5%","40","71.4","83","93","89.1","76.8","90.1","62.9","98.1","93.9","73","90.4","71.9"
"34","17","San Diego","USA","39.5%","13.0%","10","9.7","76.2","4.0%","117","83.8","84.1","91.8","88.8","80.6","85.8","76.1","77.7","87","70.1","89.2","71.7"
"35","31","Philadelphia","USA","40.1%","12.8%","10","10.7","79.7","6.0%","0","73.3","83.6","87.5","84.2","85.7","82","73.8","93.6","87","61.3","90","71.5"
"36","37","Atlanta","USA","40.4%","13.4%","10","10.2","84","3.8%","0","66.9","82.5","91.2","84.3","83.1","84.4","75","90.9","87","55.3","91.6","71"
"37","20","San Francisco","USA","44.8%","13.2%","10","9.7","80.5","4.0%","117","83.8","83.1","91.7","93.2","64.1","88.2","63.7","83.9","93.9","70.6","87.1","70.4"
"38","21","New York","USA","42.0%","12.4%","10","11.4","73.5","4.1%","180","82.7","82.3","92.9","90","70.1","87.3","66.2","88.2","90.7","60","75.8","67.9"
"39","16","Milan","Italy","35.0%","13.7%","20","21","85.2","1.4%","337","76.7","88.5","92","74.3","85.4","70.2","75.3","70.9","64.5","75.8","50","67.3"
"40","33","Miami","USA","36.7%","13.5%","10","9.2","84","3.5%","0","66.5","82.3","87.6","86.2","84.9","86.9","63.7","66.4","97.1","58.1","90.9","67.2"
"41","-","New Orleans","USA","41.6%","15.1%","10","10.4","55.1","4.4%","0","71.6","81.1","85.6","85.1","86.9","79","74","85.1","99.5","50","85","66.7"
"42","34","Cleveland","USA","31.3%","13.1%","10","10.9","84","6.5%","0","72.4","85.9","86.9","83","89.4","76","59.1","79.7","86.6","56.7","91.8","66.5"
"43","29","Chicago","USA","39.2%","12.6%","10","10.7","72.3","5.2%","0","72.7","83","90.5","88.4","81.8","87","58.8","83.4","84.7","62.8","88.8","65.4"
"44","36","Houston","USA","37.3%","16.6%","10","9.9","76.6","3.7%","0","68.1","83.6","86.3","81.7","87.5","84.1","60.1","79.9","89.4","55.2","92.1","65.3"
"45","35","Hong Kong","Hong Kong","39.5%","29.9%","7","14","82.5","3.7%","70","70.1","63.7","90.5","68.6","82","51.9","81.6","80.9","50","100","91.8","62"
"46","26","Los Angeles","USA","39.1%","13.5%","10","7","63.7","4.0%","117","83.8","82.3","91.7","90.7","80.2","87.3","66.4","67.5","81.8","69.9","88.7","54.2"
"47","-","Sao Paulo","Brazil","25.7%","10.8%","10","30","50","4.7%","181","50","54.7","86.7","73.8","100","73.4","50","60.7","70.5","66.6","81.5","52"
"48","38","Buenos Aires","Argentina","28.0%","19.9%","14","15","57.8","10.0%","92","59.4","52.5","88.7","79.4","99.5","74.2","62.6","67.7","79.8","71.7","64.2","51.6"
"49","-","Bangkok","Thailand","16.8%","20.2%","6","10","100","3.7%","90","73.9","63.6","76.7","70.6","95.7","69.2","56.2","50","52.1","93.2","95.1","51.3"
"50","40","Kuala Lumpur","Malaysia","30.1%","16.0%","8","12","88.3","1.1%","98","66.6","50","50","50","98.2","50","67.1","73.4","57.1","74.6","92.9","50"
