ภาค,จังหวัด,ประชากร 2564,จำนวนผู้ป่วยด้วยกลุ่มโรคทางจิตเวช 2564 (คน),จำนวนผู้ป่วยโรคซึมเศร้า 2564 (คน),จำนวนผู้พยายามฆ่าตัวตาย,อัตราฆ่าตัวตายสำเร็จต่อแสนประชากร 2563,จำนวนจิตแพทย์ 2564,นักจิตวิทยา 2564,"อัตราส่วนประชากรต่อผู้พยายามฆ่าตัวตาย ประชากร 1,000 คน","อัตราส่วนประชากรต่อผู้ป่วยที่เข้ารับการรักษาโรคทางจิตเวช 2564 ต่อประชากร 100,000 คน","อัตราส่วนผู้ป่วยโรคซึมเศร้าต่อประชากร 100,000 คน","อัตราส่วนจิตแพทย์ต่อประชากร 100,000 คน",อัตราส่วนนักจิตวิทยาต่อประชากรแสนคน,อัตราส่วนผู้ป่วยโรคจิตเวชต่อจิตแพทย์,อัตราส่วนผู้ป่วยซึมเศร้าต่อจิตแพทย์,อัตราส่วนผู้ป่วยโรคจิตเวชต่อนักจิตวิทยา,อัตราส่วนผู้ป่วยซึมเศร้าต่อนักจิตวิทยา
ภาคใต้,กระบี่,"479,351","16,631",1429,97,8,3,3,0.2023569368,3469.4827,298.1114048,0.6258461962,0.6258461962,"5,543.67",476.3,"5,543.7",476.3
กลาง,กรุงเทพมหานคร,"5,527,994","157,200","15,676",518,3.17,271,188,0.09370487739,2843.7079,283.5748375,4.902320806,3.400871998,580.07,57.8,836.2,83.4
ภาคตะวันตก,กาญจนบุรี,"894,054","48,311","4,212",705,8.19,4,2,0.7885429739,5403.5886,471.1124831,0.4474002689,0.2237001344,"12,077.75","1,053.0","24,155.5","2,106.0"
ตะวันออกเฉียงเหนือ,กาฬสินธุ์,"975,570","52,375",3722,190,8.47,3,2,0.1947579364,5368.6563,381.520547,0.3075125311,0.2050083541,"17,458.33","1,240.7","26,187.5","1,861.0"
กลาง,กำแพงเพชร,"712,143","46,296",3583,303,6.12,4,1,0.4254763439,6500.9415,503.1292872,0.5616849425,0.1404212356,"11,574.00",895.8,"46,296.0","3,583.0"
ตะวันออกเฉียงเหนือ,ขอนแก่น,"1,790,863","148,378","10,684",800,10.69,31,9,0.4467120042,8285.2792,596.5838816,1.731009016,0.5025510047,"4,786.39",344.6,"16,486.4","1,187.1"
ตะวันออก,จันทบุรี,"536,557","34,502",2849,515,11.82,6,2,0.959823467,6430.2581,530.9780694,1.118240932,0.3727469775,"5,750.33",474.8,"17,251.0","1,424.5"
ตะวันออก,ฉะเชิงเทรา,"724,178","33,692",3334,294,6.7,4,11,0.4059775359,4652.4473,460.3840492,0.552350389,1.51896357,"8,423.00",833.5,"3,062.9",303.1
ตะวันออก,ชลบุรี,"1,583,672","60,115","5,072",761,5.77,23,10,0.4805287964,3795.9249,320.2683384,1.452320935,0.6314438848,"2,613.70",220.5,"6,011.5",507.2
กลาง,ชัยนาท,"320,432","25,526",2479,147,11.1,2,2,0.4587556798,7966.1207,773.6430818,0.6241573875,0.6241573875,"12,763.00","1,239.5","12,763.0","1,239.5"
